No	Na	x	y	z	Cl	x	y	z
297	31.681501	-12.102788	-11.369007	-26.981211	16.016328	7.073980	13.469125	5.006419
298	10.401356	-5.725088	7.231851	4.807485	17.662410	16.272739	-0.570658	-6.843467
299	18.279589	0.251082	-2.976338	18.033905	16.603089	-8.815410	-13.713107	-3.146715
300	31.748349	16.170900	15.561472	-22.456631	9.197967	8.540545	2.873210	-1.845633
301	13.585341	9.684406	9.479054	-0.959838	21.679187	-20.471254	0.916985	7.076302
302	15.691295	-5.566595	-14.608766	-1.346743	33.613148	-8.121855	-30.205093	12.309814
303	6.875051	3.015812	1.000032	-6.096814	7.744357	1.942596	3.194032	6.782296
304	19.632226	-2.950410	-17.367504	8.665401	4.721168	1.553951	-3.713034	-2.467395
305	32.008975	10.463864	-28.955135	8.756835	10.042483	9.127068	2.332393	-3.479661
306	15.644409	-6.323167	-13.371212	5.096643	17.279794	13.730893	-10.117328	2.773721
307	17.468787	1.638580	9.325387	14.680284	26.976007	-0.004873	-11.737795	-24.288456
